%s was successfully added to your shopping cart.,%s is suksesvol by jou inkopiemandjie gevoeg.
View Shopping Cart,Bekyk inkopiemandjie
You have %s products in your shopping cart,Jy het %s produkte in jou inkopiemandjie
Total,Totaal
Continue Shopping,Gaan voort met inkopies
Checkout,Uitteken
Search settings,Soek instellings
Products,Produkte
Categories,Kategorieë
Select a store to view dashboard,Kies 'n winkel om kontroleskerm te sien
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk is nie vir hierdie winkel opgestel nie. <a href='%s'>Klik hier om op te stel</a>
Public and private key must be set in order to enable faceted search,Publieke en private sleutel moet gestel word om fasetsoektogte moontlik te maak
Public or private key invalid,Publieke of private sleutel ongeldig
Search results for '%s',Soek resultate vir '%s'
Page,Bladsy
Popup,Opspringer
-- Please Select --,-- Kies asseblief --
Content,Inhoud
Clerk Content Options,Clerk Inhoudsopsies
Select Product...,Kies produk...
Select Category...,Kies kategorie...
Select a store to view dashboard,Kies 'n winkel om kontroleskerm te sien
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk is nie vir hierdie winkel opgestel nie. <a href='%s'>Klik hier om op te stel</a>
%s was successfully added to your shopping cart.,%s is suksesvol by jou inkopiemandjie gevoeg.
You have %s products in your shopping cart,Jy het %s produkte in jou inkopiemandjie
Total,Totaal
Continue Shopping,Gaan voort met inkopies
Checkout,Uitteken
Clerk,Clerk
Dashboard,Dashboard
Search results for '%s',Soek resultate vir '%s'
Filters,Filters
Category,Kategorie
Categories,Kategorieë
Product,Produk
Products,Produkte
View Shopping Cart,Bekyk inkopiemandjie
Add to Cart,Voeg by mandjie
Continue Shopping,Gaan voort met inkopies
Continue to Checkout,Gaan voort na Checkout
