%s was successfully added to your shopping cart.,%s s'ha afegit correctament a la cistella de la compra.
View Shopping Cart,Veure la cistella de la compra
You have %s products in your shopping cart,Tens %s productes a la teva cistella de la compra
Total,Total
Continue Shopping,Continuar amb la compra
Checkout,Pagament
Search settings,Configuració de cerca
Products,Productes
Categories,Categories
Select a store to view dashboard,Seleccioneu una botiga per veure el tauler
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk no està configurat per a aquesta botiga. <a href='%s'>Feu clic aquí per configurar</a>
Public and private key must be set in order to enable faceted search,S'ha d'establir la clau pública i la privada per habilitar la cerca per facetes
Public or private key invalid,La clau pública o privada no és vàlida
Search results for '%s',Resultats de la cerca '%s'
Page,Pàgina
Popup,Popup
-- Please Select --,-- Seleccioneu --
Content,Contingut
Clerk Content Options,Clerk Opcions de contingut
Select Product...,Seleccioneu producte...
Select Category...,Selecciona una categoria...
Select a store to view dashboard,Seleccioneu una botiga per veure el tauler
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk no està configurat per a aquesta botiga. <a href='%s'>Feu clic aquí per configurar</a>
%s was successfully added to your shopping cart.,%s s'ha afegit correctament a la cistella de la compra.
You have %s products in your shopping cart,Tens %s productes a la teva cistella de la compra
Total,Total
Continue Shopping,Continuar amb la compra
Checkout,Pagament
Clerk,Clerk
Dashboard,panell
Search results for '%s',Resultats de la cerca '%s'
Filters,Filtres
Category,Categoria
Categories,Categories
Product,Producte
Products,Productes
View Shopping Cart,Veure la cistella de la compra
Add to Cart,Afegeix a la cistella
Continue Shopping,Continuar amb la compra
Continue to Checkout,Continueu cap a la compra
