%s was successfully added to your shopping cart.,%s was successfully added to your shopping cart.
View Shopping Cart,View Shopping Cart
You have %s products in your shopping cart,You have %s products in your shopping cart
Total,Total
Continue Shopping,Continue Shopping
Checkout,Checkout
Search settings,Search settings
Products,Products
Categories,Categories
Select a store to view dashboard,Select a store to view dashboard
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk is not configured for this store. <a href='%s'>Click here to configure</a>
Public and private key must be set in order to enable faceted search,Public and private key must be set in order to enable faceted search
Public or private key invalid,Public or private key invalid
Search results for '%s',Search results for '%s'
Page,Page
Popup,Popup
-- Please Select --,-- Please Select --
Content,Content
Clerk Content Options,Clerk Content Options
Select Product...,Select Product...
Select Category...,Select Category...
Select a store to view dashboard,Select a store to view dashboard
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk is not configured for this store. <a href='%s'>Click here to configure</a>
%s was successfully added to your shopping cart.,%s was successfully added to your shopping cart.
You have %s products in your shopping cart,You have %s products in your shopping cart
Total,Total
Continue Shopping,Continue Shopping
Checkout,Checkout
Clerk,Clerk
Dashboard,Dashboard
Search results for '%s',Search results for '%s'
Filters,Filters
Category,Category
Categories,Categories
Product,Product
Products,Products
View Shopping Cart,View Shopping Cart
Add to Cart,Add to Cart
Continue Shopping,Continue Shopping
Continue to Checkout,Continue to Checkout
