"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"Continue Shopping","Continue Shopping"
"View Shopping Cart","View Shopping Cart"
"%s products in your shopping cart","%s products in your shopping cart"
"Shipping","Shipping"
"Total","Total"
"To Checkout","To Checkout"
"Power Step Page","Power Step Page"
"Power Step Popup","Power Step Popup"
"If you have multiple stores we recommend you to enable Clerk and set keys on the store view instead of default settings.","If you have multiple stores we recommend you to enable Clerk and set keys on the store view instead of default settings."
