%s was successfully added to your shopping cart.,%s berhasil ditambahkan ke keranjang belanja Anda.
View Shopping Cart,Lihat Keranjang Belanja
You have %s products in your shopping cart,Anda memiliki produk di keranjang belanja Anda
Total,Total
Continue Shopping,Lanjutkan Belanja
Checkout,Periksa
Search settings,Pengaturan pencarian
Products,Produk
Categories,Kategori
Select a store to view dashboard,Pilih toko untuk melihat dasbor
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk tidak dikonfigurasi untuk toko ini. <a href='%s'>Klik di sini untuk mengonfigurasi</a>
Public and private key must be set in order to enable faceted search,Kunci publik dan pribadi harus disetel untuk mengaktifkan pencarian segi
Public or private key invalid,Kunci publik atau pribadi tidak valid
Search results for '%s',Hasil pencarian '%s'
Page,Halaman
Popup,Muncul
-- Please Select --,-- Silahkan pilih --
Content,Isi
Clerk Content Options,Clerk Opsi Konten
Select Product...,Pilih Produk...
Select Category...,Pilih Kategori...
Select a store to view dashboard,Pilih toko untuk melihat dasbor
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk tidak dikonfigurasi untuk toko ini. <a href='%s'>Klik di sini untuk mengonfigurasi</a>
%s was successfully added to your shopping cart.,%s berhasil ditambahkan ke keranjang belanja Anda.
You have %s products in your shopping cart,Anda memiliki produk di keranjang belanja Anda
Total,Total
Continue Shopping,Lanjutkan Belanja
Checkout,Periksa
Clerk,Clerk
Dashboard,Dasbor
Search results for '%s',Hasil pencarian '%s'
Filters,Filter
Category,Kategori
Categories,Kategori
Product,Produk
Products,Produk
View Shopping Cart,Lihat Keranjang Belanja
Add to Cart,Masukkan ke keranjang
Continue Shopping,Lanjutkan Belanja
Continue to Checkout,Lanjutkan ke Checkout
