%s was successfully added to your shopping cart.,%s è stato aggiunto con successo al tuo carrello.
View Shopping Cart,Vedi il Carrello
You have %s products in your shopping cart,Hai %s prodotti nel tuo carrello
Total,Totale
Continue Shopping,Continua a fare acquisti
Checkout,Guardare
Search settings,Impostazioni di ricerca
Products,Prodotti
Categories,Categorie
Select a store to view dashboard,Seleziona un negozio per visualizzare la dashboard
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk non è configurato per questo negozio. <a href='%s'>Fai clic qui per configurare</a>
Public and private key must be set in order to enable faceted search,La chiave pubblica e quella privata devono essere impostate per abilitare la ricerca a faccette
Public or private key invalid,Chiave pubblica o privata non valida
Search results for '%s',Cerca risultati per '%s'
Page,Pagina
Popup,Apparire
-- Please Select --,-- Seleziona --
Content,Contenuto
Clerk Content Options,Clerk Opzioni di contenuto
Select Product...,Seleziona prodotto...
Select Category...,Seleziona categoria...
Select a store to view dashboard,Seleziona un negozio per visualizzare la dashboard
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk non è configurato per questo negozio. <a href='%s'>Fai clic qui per configurare</a>
%s was successfully added to your shopping cart.,%s è stato aggiunto con successo al tuo carrello.
You have %s products in your shopping cart,Hai %s prodotti nel tuo carrello
Total,Totale
Continue Shopping,Continua a fare acquisti
Checkout,Guardare
Clerk,Clerk
Dashboard,Pannello di controllo
Search results for '%s',Cerca risultati per '%s'
Filters,Filtri
Category,Categoria
Categories,Categorie
Product,Prodotto
Products,Prodotti
View Shopping Cart,Vedi il Carrello
Add to Cart,Aggiungi al carrello
Continue Shopping,Continua a fare acquisti
Continue to Checkout,Continua alla cassa
