%s was successfully added to your shopping cart.,%s беше успешно додаден во вашата кошничка.
View Shopping Cart,Погледнете ја кошничката за купување
You have %s products in your shopping cart,Имате %s производи во вашата кошничка
Total,Вкупно
Continue Shopping,Да продолжите со купување
Checkout,Исплата
Search settings,Поставки за пребарување
Products,Производи
Categories,Категории
Select a store to view dashboard,Изберете продавница за да ја видите контролната табла
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk не е конфигуриран за оваа продавница. <a href='%s'>Кликнете овде за да конфигурирате</a>
Public and private key must be set in order to enable faceted search,Јавниот и приватниот клуч мора да бидат поставени за да се овозможи фацетирано пребарување
Public or private key invalid,Јавен или приватен клуч е неважечки
Search results for '%s',Резултати од пребарувањето за '%s'
Page,Страница
Popup,Скокачки прозорец
-- Please Select --,-- Ве молиме изберете --
Content,содржина
Clerk Content Options,Clerk Опции за содржина
Select Product...,Изберете производ...
Select Category...,Изберете категорија...
Select a store to view dashboard,Изберете продавница за да ја видите контролната табла
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk не е конфигуриран за оваа продавница. <a href='%s'>Кликнете овде за да конфигурирате</a>
%s was successfully added to your shopping cart.,%s беше успешно додаден во вашата кошничка.
You have %s products in your shopping cart,Имате %s производи во вашата кошничка
Total,Вкупно
Continue Shopping,Да продолжите со купување
Checkout,Исплата
Clerk,Clerk
Dashboard,Контролна табла
Search results for '%s',Резултати од пребарувањето за '%s'
Filters,Филтри
Category,Категорија
Categories,Категории
Product,Производ
Products,Производи
View Shopping Cart,Погледнете ја кошничката за купување
Add to Cart,Додади го во кошничка
Continue Shopping,Да продолжите со купување
Continue to Checkout,Продолжете на Checkout
