%s was successfully added to your shopping cart.,%s telah berjaya ditambahkan pada troli beli-belah anda.
View Shopping Cart,Lihat Troli Beli-belah
You have %s products in your shopping cart,Anda mempunyai %s produk dalam troli beli-belah anda
Total,Jumlah
Continue Shopping,Terus membeli-belah
Checkout,Checkout
Search settings,Tetapan carian
Products,Produk
Categories,Kategori
Select a store to view dashboard,Pilih kedai untuk melihat papan pemuka
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk tidak dikonfigurasikan untuk kedai ini. <a href='%s'>Klik di sini untuk mengkonfigurasi</a>
Public and private key must be set in order to enable faceted search,Kunci awam dan persendirian mesti ditetapkan untuk membolehkan carian bermuka
Public or private key invalid,Kunci awam atau peribadi tidak sah
Search results for '%s',Hasil carian untuk '%s'
Page,Halaman
Popup,Pop timbul
-- Please Select --,-- Sila Pilih --
Content,Kandungan
Clerk Content Options,Clerk Pilihan Kandungan
Select Product...,Pilih Produk...
Select Category...,Pilih Kategori...
Select a store to view dashboard,Pilih kedai untuk melihat papan pemuka
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk tidak dikonfigurasikan untuk kedai ini. <a href='%s'>Klik di sini untuk mengkonfigurasi</a>
%s was successfully added to your shopping cart.,%s telah berjaya ditambahkan pada troli beli-belah anda.
You have %s products in your shopping cart,Anda mempunyai %s produk dalam troli beli-belah anda
Total,Jumlah
Continue Shopping,Terus membeli-belah
Checkout,Checkout
Clerk,Clerk
Dashboard,Papan pemuka
Search results for '%s',Hasil carian untuk '%s'
Filters,Penapis
Category,kategori
Categories,Kategori
Product,produk
Products,Produk
View Shopping Cart,Lihat Troli Beli-belah
Add to Cart,Tambah ke Troli
Continue Shopping,Terus membeli-belah
Continue to Checkout,Teruskan ke Checkout
