%s was successfully added to your shopping cart.,%s is succesvol toegevoegd aan uw winkelwagen.
View Shopping Cart,Winkelwagen bekijken
You have %s products in your shopping cart,U heeft %s producten in uw winkelwagen
Total,Totaal
Continue Shopping,Doorgaan met winkelen
Checkout,Uitchecken
Search settings,Zoek instellingen
Products,Producten
Categories,Categorieën
Select a store to view dashboard,Selecteer een winkel om het dashboard te bekijken
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk is niet geconfigureerd voor deze winkel. <a href='%s'>Klik hier om te configureren</a>
Public and private key must be set in order to enable faceted search,Openbare en privésleutel moeten worden ingesteld om gefacetteerd zoeken mogelijk te maken
Public or private key invalid,Openbare of privésleutel ongeldig
Search results for '%s',Zoekresultaten voor '%s'
Page,Bladzijde
Popup,Pop-up
-- Please Select --,-- Selecteer alstublieft --
Content,Inhoud
Clerk Content Options,Clerk Inhoudsopties
Select Product...,Selecteer product...
Select Category...,Selecteer categorie...
Select a store to view dashboard,Selecteer een winkel om het dashboard te bekijken
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk is niet geconfigureerd voor deze winkel. <a href='%s'>Klik hier om te configureren</a>
%s was successfully added to your shopping cart.,%s is succesvol toegevoegd aan uw winkelwagen.
You have %s products in your shopping cart,U heeft %s producten in uw winkelwagen
Total,Totaal
Continue Shopping,Doorgaan met winkelen
Checkout,Uitchecken
Clerk,Clerk
Dashboard,Dashboard
Search results for '%s',Zoekresultaten voor '%s'
Filters,Filters
Category,Categorie
Categories,Categorieën
Product,Product
Products,Producten
View Shopping Cart,Winkelwagen bekijken
Add to Cart,Voeg toe aan winkelkar
Continue Shopping,Doorgaan met winkelen
Continue to Checkout,Doorgaan naar afrekenen
