%s was successfully added to your shopping cart.,%s a fost adăugat cu succes în coșul de cumpărături.
View Shopping Cart,Vezi coșul de cumpărături
You have %s products in your shopping cart,Aveți %s produse în coșul de cumpărături
Total,Total
Continue Shopping,Continua cumparaturile
Checkout,Verifică
Search settings,Setări de căutare
Products,Produse
Categories,Categorii
Select a store to view dashboard,Selectați un magazin pentru a vedea tabloul de bord
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk nu este configurat pentru acest magazin. <a href='%s'>Faceți clic aici pentru a configura</a>
Public and private key must be set in order to enable faceted search,Cheia publică și privată trebuie setată pentru a activa căutarea fațetă
Public or private key invalid,Cheie publică sau privată invalidă
Search results for '%s',Cauta rezultate pentru '%s'
Page,Pagină
Popup,Pop-up
-- Please Select --,-- Te rog selecteaza --
Content,Conţinut
Clerk Content Options,Clerk Opțiuni de conținut
Select Product...,Selectați produsul...
Select Category...,Selecteaza categoria...
Select a store to view dashboard,Selectați un magazin pentru a vedea tabloul de bord
Clerk is not configured for this store. <a href='%s'>Click here to configure</a>,Clerk nu este configurat pentru acest magazin. <a href='%s'>Faceți clic aici pentru a configura</a>
%s was successfully added to your shopping cart.,%s a fost adăugat cu succes în coșul de cumpărături.
You have %s products in your shopping cart,Aveți %s produse în coșul de cumpărături
Total,Total
Continue Shopping,Continua cumparaturile
Checkout,Verifică
Clerk,Clerk
Dashboard,Bord
Search results for '%s',Cauta rezultate pentru '%s'
Filters,Filtre
Category,Categorie
Categories,Categorii
Product,Produs
Products,Produse
View Shopping Cart,Vezi coșul de cumpărături
Add to Cart,Adaugă în coș
Continue Shopping,Continua cumparaturile
Continue to Checkout,Continuați la Checkout
